fill	x	y	tooltip	clickSelects	PANEL	xmin	xmax	ymin	ymax	colour	size
#FFFFFF	0.702020202020202	0.215909090909091	( 0 ,  Inf )	px=1; pz=1.2	15	0.651515151515151	0.752525252525252	0.159090909090909	0.272727272727273	#FFFFFF	0
#FDFCFC	0.702020202020202	0.329545454545455	( 0.09 ,  18.78 )	px=1; pz=1.7	15	0.651515151515151	0.752525252525252	0.272727272727273	0.386363636363636	#FDFCFC	0
#E1E1EF	0.702020202020202	0.443181818181818	( 0.22 ,  1.16 )	px=1; pz=2.2	15	0.651515151515151	0.752525252525252	0.386363636363636	0.5	#E1E1EF	0
#CECEE5	0.702020202020202	0.556818181818182	( 0.17 ,  0.93 )	px=1; pz=2.7	15	0.651515151515151	0.752525252525252	0.5	0.613636363636364	#CECEE5	0
#F2F2F8	0.702020202020202	0.670454545454545	( 0.07 ,  2.56 )	px=1; pz=3.2	15	0.651515151515151	0.752525252525252	0.613636363636364	0.727272727272727	#F2F2F8	0
#FFFFFF	0.702020202020202	0.784090909090909	( 0 ,  Inf )	px=1; pz=3.7	15	0.651515151515151	0.752525252525252	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.702020202020202	0.897727272727273	( 0 ,  Inf )	px=1; pz=4.2	15	0.651515151515151	0.752525252525252	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.803030303030303	0.102272727272727	( 0 ,  Inf )	px=1.5; pz=0.7	15	0.752525252525252	0.853535353535353	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.803030303030303	0.215909090909091	( 0 ,  Inf )	px=1.5; pz=1.2	15	0.752525252525252	0.853535353535353	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.803030303030303	0.329545454545455	( 0 ,  Inf )	px=1.5; pz=1.7	15	0.752525252525252	0.853535353535353	0.272727272727273	0.386363636363636	#FFFFFF	0
#FDFDFE	0.803030303030303	0.443181818181818	( 0 ,  Inf )	px=1.5; pz=2.2	15	0.752525252525252	0.853535353535353	0.386363636363636	0.5	#FDFDFE	0
#FDFDFE	0.803030303030303	0.556818181818182	( 0 ,  Inf )	px=1.5; pz=2.7	15	0.752525252525252	0.853535353535353	0.5	0.613636363636364	#FDFDFE	0
#FEFEFE	0.803030303030303	0.670454545454545	( 0 ,  Inf )	px=1.5; pz=3.2	15	0.752525252525252	0.853535353535353	0.613636363636364	0.727272727272727	#FEFEFE	0
#FFFFFF	0.803030303030303	0.784090909090909	( 0 ,  Inf )	px=1.5; pz=3.7	15	0.752525252525252	0.853535353535353	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.803030303030303	0.897727272727273	( 0 ,  Inf )	px=1.5; pz=4.2	15	0.752525252525252	0.853535353535353	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.904040404040404	0.102272727272727	( 0 ,  Inf )	px=2; pz=0.7	15	0.853535353535353	0.954545454545454	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.904040404040404	0.215909090909091	( 0 ,  Inf )	px=2; pz=1.2	15	0.853535353535353	0.954545454545454	0.159090909090909	0.272727272727273	#FFFFFF	0
#FFFFFF	0.904040404040404	0.329545454545455	( 0 ,  Inf )	px=2; pz=1.7	15	0.853535353535353	0.954545454545454	0.272727272727273	0.386363636363636	#FFFFFF	0
#FFFFFF	0.904040404040404	0.443181818181818	( 0 ,  Inf )	px=2; pz=2.2	15	0.853535353535353	0.954545454545454	0.386363636363636	0.5	#FFFFFF	0
#FFFFFF	0.904040404040404	0.556818181818182	( 0 ,  Inf )	px=2; pz=2.7	15	0.853535353535353	0.954545454545454	0.5	0.613636363636364	#FFFFFF	0
#FFFFFF	0.904040404040404	0.670454545454545	( 0 ,  Inf )	px=2; pz=3.2	15	0.853535353535353	0.954545454545454	0.613636363636364	0.727272727272727	#FFFFFF	0
